Nazwa_miasta;Wojewodztwo;Liczba_mieszkancow;Liczba_kobiet;Liczba_mezczyzn;Grupa_wiekowa;Powierzchnia_miasta;Powierzchnia_terenow_zielonych;Data_aktualizacji
Warszawa;Mazowieckie;1724,4;933,2;791,2;og—¸em;517,2;8798;2013.12.31
Warszawa;Mazowieckie;96;46,5;49,5; 0-4 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;82,6;40,4;42,2;5-9 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;61,7;30,3;31,4;10-14 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;61,6;30,3;31,3;15-19 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;85,7;43,3;42,4;20-24 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;138,5;73;65,5;25-29 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;166;87,7;78,3;30-34 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;156,5;82,1;74,4;35-39 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;114,4;58,8;55,6;40-44 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;88,7;45,9;42,8;45-49 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;98,2;52,6;45,6;50-54 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;133,1;73,5;59,6;55-59 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;125,9;71,1;54,8;60-64 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;91,6;53,8;37,8;65-69 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;64,1;39,3;24,8;70-74 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;64,7;41,6;23,1;75-79 lata;517,2;8798;2013.12.31
Warszawa;Mazowieckie;95;63;32;80 lat i wi«cej;517,2;8798;2013.12.31
ü—d;ü—dzkie;711,3;387,6;323,7;og—¸em;293,3;2947;2013.12.31
ü—d;ü—dzkie;17,8;8,7;9,1;0-2 lata;293,3;2947;2013.12.31
ü—d;ü—dzkie;25,2;12,3;12,9;3-6 lat;293,3;2947;2013.12.31
ü—d;ü—dzkie;31,3;15,1;16,1;7-12 lat;293,3;2947;2013.12.31
